hold_for_2_sec	Hold for 2 sec	Podržte 2 sekundy	2 Sekunden lang halten	Mantener durante 2 segundos	Pidä 2 sekuntia	Maintenez pendant 2 secondes	Tenere premuto per 2 sec.	2秒間長押し	2초 누르기	2 sec. vasthouden	Hold inne i 2 sek.	Segurar durante 2 s	Удерживайте в течение 2 секунд	Håll intryckt i 2 sek	2 saniye bekleyin	按住 2 秒	按住 2 秒	Утримувати 2 сек	Holdes nede i 2 sekunder	กดค้างไว้ 2 วินาที	Przytrzymaj przez 2 s	Țineți timp de 2 secunde	Tahan selama 2 detik	Podržať na 2 sekundy
gesture_hold_3_sec	Hold for 3 sec	Podržte 3 sekundy	3 Sekunden lang halten	Mantener durante 3 segundos	Pidä 3 sekuntia	Maintenez pendant 3 secondes	Tenere premuto per 3 sec.	3秒間長押し	3초 누르기	3 sec. vasthouden	Hold inne i 3 sek.	Segurar durante 3 s	Удерживайте в течение 3 секунд	Håll intryckt i 3 sek	3 saniye bekleyin	按住 3 秒	按住 3 秒	Утримувати 3 сек	Holdes nede i 3 sekunder	กดค้างไว้ 3 วินาที	Przytrzymaj przez 3 s	Țineți timp de 3 secunde	Tahan selama 3 detik	Podržať na 3 sekundy
mp_hybrid_multipoint	Hybrid Multipoint	Hybridní vícebodový	Verbindung mit mehreren Geräten	Multipunto híbrido	Hybridi-monipiste	Connexion multi-appareils hybride	Multipunto ibrido	ハイブリッド マルチポイント	하이브리드 멀티포인트	Hybride multipunt	Hybrid multipunkt	Multiponto híbrido	Подключение нескольких устройств	Hybrid Flerpunkt	Hibrit Çok Noktalı	双模多点连接	雙模多點連線	Гібридна мультиточка	Hybrid-multipunkt	ไฮบริดมัลติพอยด์	Hybrydowy tryb wielopunktowy	Multipunct hibrid	Multi-titik Hibrid	Viacbodový hybridný
mp_description_title	Instructions	Pokyny	Anweisungen	Instrucciones	Ohjeet	Instructions	Istruzioni	使用方法	지침	Instructies	Instruksjoner	Instruções	Инструкции	Instruktioner	Talimatlar	操作说明	操作說明	Інструкції	Vejledninger	คำสั่ง	Instrukcje	Instrucțiuni	Petunjuk	
eq_profile_jazz	Jazz	Jazz	Jazz	Jazz	Jazz	Jazz	Jazz	ジャズ	재즈	Jazz	Jazz	Jazz	Джаз	Jazz	Caz	爵士乐	爵士樂	Джаз	Jazz	แจ๊ส	Jazz	Jazz	Jazz	
left	Left	Vlevo	Links	Izquierda	Vasemmalle	Gauche	Sinistra	左面	왼쪽	Links	Venstre	Esquerda	Влево	Vänster	Sol	左侧	左側	Зліва	Venstre	ด้านซ้าย	Lewo	Stânga	Kiri	
lighting	Lighting	Osvětlení	Beleuchtung	Iluminación	Valo	Éclairage	Illuminazione	LED ライト	조명	Verlichting	Lampe	Iluminação	Подсветка	Belysning	Aydınlatma	灯光	燈光	Підсвічування	Belysning	ไฟ	Podświetlenie	Luminozitate	Pencahayaan	
effect_color	Lighting effects	Světelné efekty	Lichteffekte	Efectos de iluminación	Valaistustehosteet	Effets lumineux	Effetti di illuminazione	エフェクト	조명 효과	Lichteffecten	Lyseffekter	Efeitos de iluminação	Эффекты подсветки	Belysningseffekter	Aydınlatma efektleri	灯效	燈效	Світлові ефекти	Lyseffekter	เอฟเฟ็กต์ไฟ	Efekty podświetlenia	Efecte luminoase	Efek pencahayaan	
lighting_switch	Lighting Switch	Přepínač osvětlení	Beleuchtungsschalter	Interruptor de iluminación	Valaistuksen kytkin	Interrupteur d'éclairage	Interruttore	ライティングスイッチ	조명 스위치	Lichtschakelaar	Lysbryter	Interruptor de iluminação	Переключение подсветки	Belysningsknapp	Aydınlatma Anahtarı	灯光开关	燈光開關	Перемикання освітлення	Lyskontakt	สวิตช์ไฟ	Wyłącznik podświetlenia	Comutator iluminare	Sakelar Pencahayaan	Spínač osvetlenia
low_power_description	Lighting turns off when the battery level reaches	Osvětlení se vypne, když napětí baterie dosáhne	Die Beleuchtung schaltet sich aus, wenn folgender Akkustand erreicht ist:	La iluminación se apaga cuando el nivel de batería alcanza	Valaistus sammuu, kun akun varaustaso saavuttaa	L'éclairage s'éteint lorsque le niveau de la batterie atteint	La luce si spegne quando la batteria raggiunge un	バッテリー残量が設定した数値を下回ると自動でライティングをオフにします。	배터리 수준에 따라 조명이 꺼집니다	Verlichting schakelt uit wanneer het batterijniveau staat op	Lyset slås av når batterinivået når	A iluminação desliga-se quando o nível da bateria atinge	Отключение подсветки при разряде аккумулятора до	Belysningen stängs av när batterinivån når	Pil seviyesi ulaştığında aydınlatma kapanır	当电量达到指定百分比时，灯光将自动关闭。	當電量達到指定百分比時，燈光將自動關閉。	Освітлення вимикається, коли заряд акумулятора дорівнює	Lyset slukker, når batteristrømmen når	ไฟจะดับลงเมื่อระดับแบตเตอรี่ถึง	Wyłączanie podświetlenia przy poziomie naładowania baterii	Iluminarea se oprește atunci când nivelul bateriei ajunge la	Lampu akan mati saat tingkat baterai mencapai	Keď úroveň nabitia batérie dosiahne…, vypnite osvetlenie
load	Loading…	Načítání…	Wird geladen...	Cargando…	Ladataan...	Chargement…	Caricamento...	読み込み中...	로드 중...	Bezig met laden…	Laster …	A carregar…	Загрузка...	Laddar...	Yükleniyor…	正在加载……	載入中……	Завантаження…	Indlæser...	กำลังโหลด...	Twa ładowanie...	Se încarcă…	Memuat...	
low	Low	Nízká	Niedrig	Bajo	Matala	Faible	Bassa	低	낮게	Laag	Lav	Baixo	Низкий	Låg	Düşük	低	低	Низька	Lav	ต่ำ	Niska	Scăzut	Rendah	
low_power_title	Low battery mode	Režim nízkého napětí baterie	Modus für niedrigen Akkustand	Modo de batería baja	Alhainen akun varaustaso	Mode batterie faible	Modalità risparmio energetico	低電力モード	절전 모드	Lage batterijmodus	Lite batteri-modus	Modo de bateria fraca	Режим разряженного аккумулятора	Strömsparläge	Düşük pil modu	低电量模式	低電量模式	Режим низького заряду акумулятора	Lav batterifunktion	โหมดแบตเตอรี่ต่ำ	Tryb niskiego poziomu baterii	Mod baterie descărcată	Mode hemat baterai	Režim slabej batérie
eq_profile_metal	Metal	Metal	Metal	Metal	Metalli	Métallique	Metal	メタル	메탈	Metaal	Metall	Metal	Металл	Metall	Metal	金属乐	金屬樂	Метал	Metal	เมทัล	Metal	Metal	Metal	
mid	Mid	Střední	Mittel	Medio	Keski	Moyen	Media	中	중간	Midden	Middels	Médio	Средний	Medel	Orta	中	中	Середня	Mid	กลาง	Średnia	Mediu	Sedang	
audio_profile_movie	Movie	Film	Film	Película	Elokuva	Films	Film	映画	영화	Film	Film	Filme	Фильмы	Film	Film	电影	電影	Фільм	Film	ภาพยนตร์	Film	Film	Film	
Never	Never	Nikdy	niemals	Nunca	Ei koskaan	Jamais	Mai	なし	사용 안 함	Nooit	Aldri	Nunca	Никогда	Aldrig	Asla	永不	永遠不要	Ніколи	Aldrig	ไม่เคย	Nigdy	Niciodată	Tidak pernah	
ota_available_hint	New firmware ready! Tap here to update.	Je připraven nový firmware! Aktualizaci provedete klepnutím sem.	Die neue Firmware steht bereit! Tippen Sie zum Aktualisieren hier.	¡Hay nuevo firmware listo! Toque aquí para actualizar.	Uusi laiteohjelmisto valmis! Napauta tästä päivittääksesi.	Nouveau firmware prêt ! Appuyez ici pour mettre à jour.	Nuova firmware pronta! Toccare qui per aggiornare.	新しいファームウェアが見つかりました！ここタップして更新	새로운 펌웨어가 준비되었습니다! 여기를 탭해서 업데이트하세요.	Nieuwe firmware gereed! Tik hier om te updaten.	Ny fastvare klar! Trykk her for å oppdatere.	Novo firmware preparado! Toque aqui para atualizar.	Доступна новая прошивка! Нажмите здесь для обновления.	Ny firmware redo! Tryck här för att uppdatera.	Yeni ürün yazılımı hazır! Güncellemek için buraya dokunun.	新固件已经准备好！请点击此处进行更新。	新韌體已經準備好！請點擊此處進行更新。	Доступна нова мікропрограма! Натисніть для поновлення.	En ny firmware er klar! Tryk her, for at opdatere.	มีเฟิร์มแวร์ใหม่พร้อมบริการ! แตะที่นี่เพื่ออัปเดต	Dostępne jest nowe oprogramowanie sprzętowe! Stuknij tutaj, aby zaktualizować.	Noul firmware este pregătit! Atingeți aici pentru actualizare.	Perangkat tegar (firmware) baru siap! Ketuk di sini untuk memperbarui.	Pripravený je nový firmvér! Ak chcete aktualizovať, ťuknite tu.
next	Next	Další	Weiter	Siguiente	Seuraava	Suivant	Avanti	次へ	다음	Volgende	Neste	Seguinte	Далее	Nästa	İleri	下一步	下一步	Далі	Næste	ถัดไป	Dalej	Următorul	Berikutnya	
next_content	Next track	Další stopa	Nächster Titel	Pista siguiente	Seuraava raita	Piste suivante	Traccia successiva	次のトラック	다음 트랙	Volgende track	Neste spor	Faixa seguinte	Следующая дорожка	Nästa spår	Sonraki parça	下一首	下一首	Наступний трек	Næste spor	แทร็คถัดไป	Następny utwór	Următoarea piesă	Trek berikutnya	
gesture_action_no_function	No function	Žádná funkce	Keine Funktion	Sin función	Ei toimintoa	Aucune fonction	Nessuna funzione	割り当てなし	기능 없음	Geen functie	Ingen funksjon	Sem função	Нет функции	Ingen funktion	İşlev yok	无功能	無功能	Функція відсутня	Ingen funktion	ไม่มีฟังก์ชัน	Brak funkcji	Nicio funcție	Tidak ada fungsi	bez funkcie
note	Note:	Poznámka:	Hinweis:	Nota:	Huomautus:	REMARQUE :	Nota:	注意:	참고:	Opmerking:	Merk:	Nota:	Примечание:	OBS!	Not:	备注：	備註：	Примітка.	Bemærk:	หมายเหตุ:	Uwaga:	Notă:	Catatan:	Poznámka:
ok	OK	OK	OK	ACEPTAR	OK	OK	OK	OK	확인	OK	OK	OK	OK	OK	TAMAM	确定	確定	OK	OK	ตกลง	OK	OK	OK	OK
pairing	Pairing mode	Režim párování	Kopplungsmodus	Modo de emparejamiento	Parinmuodostustila	Mode appairage	Modalità di associazione	ペアリングモード	페어링 모드	Koppelingsmodus	Paringsmodus	Modo de emparelhamento	Режим сопряжения	Parkopplingsläge	Eşleştirme modu	配对模式	配對模式	Режим поєднання в пару	Parringsfunktion	โหมดจับคู่	Tryb parowania	Mod de asociere	Mode pemasangan	Párovací režim
play_pause	Play/ Pause	Přehrát/pozastavit	Wiedergabe/Pause	Reproducir/Pausar	Toista/Keskeytä	Lecture/Pause	Riproduci/Pausa	再生/一時停止	재생/일시 정지	Afspelen / Pauzeren	Spill av / pause	Reproduzir/ Pausar	Воспроизведение/Пауза	Spela/pausa	Oynat/ Duraklat	播放/暂停	播放/暫停	Відтворити / Призупинити	Afspil/sæt på pause	เล่น/หยุดชั่วคราว	Odtwórz/wstrzymaj	Redare/Pauză	Putar/ Jeda	
refresh_msg	Please check the following:  1. Bluetooth is turned on and connected.  2. Bluetooth usage by the Armoury Crate app permission is Enabled.	Zkontrolujte toto:  1. Bluetooth je zapnuté a připojené.  2. Je aktivováno oprávnění aplikace Armoury Crate používat Bluetooth.	Bitte stellen Sie Folgendes sicher:  1. Bluetooth ist eingeschaltet und verbunden.  2. Die Berechtigung für die Bluetooth-Nutzung durch die Armoury Crate-App ist aktiviert.	Compruebe lo siguiente:  1. Bluetooth activado y conectado.  2. Los permisos de la aplicación Armoury Crate tienen habilitado el uso de Bluetooth.	Tarkista seuraavat:  1. Bluetooth on päällä ja yhdistetty.  2. Armoury Crate -sovelluksen Bluetooth-käyttölupa on käytössä.	Veuillez vérifier les éléments suivants :  1. Le Bluetooth est activé et connecté.  2. L'autorisation d'utilisation du Bluetooth par l'application Armoury Crate est activée.	Controllare quanto segue:   1. Il Bluetooth è acceso e connesso.   2. L'autorizzazione all'uso del Bluetooth da parte dell'app Armoury Crate è abilitata.	以下の点を確認してください:  1. お使いの機器のBluetoothがオンになっており、接続されていること。  2. Armoury CrateアプリによるBluetoothの使用が許可されていること。	다음을 확인해 주십시오:  1. Bluetooth가 켜진 후 연결되어 있는지의 상태.  2. Armoury Crate 앱의 Bluetooth 사용 허가가 활성화되었습니다.	Controleer het volgende:  1. Bluetooth is ingeschakeld en verbonden.  2. Gebruik van Bluetooth door de app Armoury Crate is ingeschakeld.	Kontroller følgende:  1. Bluetooth er slått på og koblet til.  2. Tillatelsen til at Armoury Crate-appen kan bruke Bluetooth, er aktivert.	Verifique o seguinte:  1. O Bluetooth está ativado e ligado.  2. A permissão de utilização de Bluetooth pela aplicação Armoury Crate está ativada.	Проверьте следующее:  1. Bluetooth включен и подключен.  2. Приложение Armoury Crate должно иметь разрешение для использования Bluetooth	Vänligen kontrollera följande:  1. Bluetooth är påslaget och anslutet.  2. Bluetooth-använding har aktiverats för appen Armoury Crate.	Lütfen aşağıdakileri kontrol edin:  1. Bluetooth açık ve bağlı.  2. Armoury Crate uygulaması tarafından Bluetooth kullanımı izni Etkin.	请检查：  1. 蓝牙已开启并完成连接。  2. 已同意开启 Armoury Crate 应用程序的蓝牙使用权限。	請檢查：  1. 藍牙已開啟並完成連線。  2. 已同意開啟 Armoury Crate 應用程式的藍牙使用權限。	Перевірте наступне:  1. Bluetooth підключено і увімкнено.  2. Активовано дозвіл додатку Armoury Crate на користування Bluetooth.	Kontroller følgende:  1. Bluetooth er slået til og tænd.  2. Appen Armoury Crate har fået lov til at bruge Bluetooth.	โปรดตรวจสอบดังต่อไปนี้:  1. เปิดบลูทูธและเชื่อมต่อแล้ว  2. การใช้งานบลูทูธโดยแอป Armoury Crate  สิทธิ์ถูกเปิดใช้งาน	Sprawdź poniższe pozycje:  1. Funkcja Bluetooth została włączona i nawiązano połączenie.  2. Uprawnienie do korzystania z Bluetooth przez aplikację Armoury Crate jest włączone.	Verificați următoarele:  1. Funcția Bluetooth este activată și conectată.  2. Permisiunea de utilizare Bluetooth de aplicația Armoury Crate este Enabled (Activată).	Silakan periksa hal-hal berikut ini:  1. Bluetooth dihidupkan dan tersambung.  2. Izin penggunaan Bluetooth dengan aplikasi Armoury Crate Diaktifkan.	Skontrolujte toto:  1. Zariadenie Bluetooth je zapnuté a pripojené.  2. Povolenie na používanie Bluetooth aplikáciou Armoury Crate je povolené.
rgb_dialog_msg	Please note that the battery will be drained faster if the LED brightness is set to 100%.	Pokud bude jas LED nastaven na 100 %, baterie se bude vybíjet rychleji.	Bitte beachten Sie, dass der Akku schneller entladen wird, wenn die LED-Helligkeit auf 100% eingestellt ist.	Tenga en cuenta que la batería se agotará más rápido si el brillo del LED se establece en el 100 %.	Huomaa, että akku tyhjenee nopeammin, jos LED-lampun kirkkaudeksi on asetettu 100 %.	Notez que la batterie sera plus rapidement épuisée si le niveau de luminosité LED est défini sur 100%.	Tieni presente che la batteria si esaurirà più velocemente se imposti la luminosità LED al 100%.	LED輝度を100%に設定すると、バッテリーの消耗が早くなりますのでご注意ください。	LED 밝기를 100%로 설정하면 배터리가 더 빨리 소모됩니다.	Denk eraan dat de batterij sneller zal leeglopen als de LED-helderheid is ingesteld op 100%.	Vær oppmerksom på at batteriet tappes raskere hvis LED-lysstyrken er satt til 100 %.	Tenha em atenção que a bateria descarregará mais rapidamente se o brilho do LED estiver definido para 100%.	Обратите внимание, что аккумулятор разряжается быстрее, если яркость индикатора установлена ​​в100%.	Observera att batteriet töms snabbare om LED-ljusstyrkan är inställd på 100 %.	LED parlaklığı %100 olarak ayarlanırsa pilin daha hızlı biteceğini lütfen unutmayın.	请注意若将 LED 亮度设置为 100％，则电池耗电会更快。	請注意若將 LED 亮度設定為 100％，則電池耗電會更快。	Зверніть увагу, що батарея буде розряджатися швидше, якщо яскравість світлодіода встановлена ​​на 100 %.	Bemærk venligst, at batteriet bruges hurtigere, hvis LED-lysstyrken sættes på 100 %.	โปรดทราบว่าแบตเตอรี่จะหมดเร็วขึ้นหากตั้งค่าความสว่างของไฟ LED ไว้ที่ 100%	Należy pamiętać, że ustawienie 100% poziomu jasności podświetlenia LED spowoduje szybsze rozładowywanie się baterii.	Rețineți că bateria se va descărca mai repede dacă luminozitate LED este setată la 100%.	Perlu diketahui bahwa baterai akan terkuras lebih cepat jika kecerahan LED diatur ke 100%.	Upozorňujeme, že batéria sa rýchlejšie vybije, keď je jas svetelnej kontrolky LED nastavený na 100 %.
power	Power	Napájení	Energie	Alimentación	Virta	Alimentation	Alimentazione	電源	전원	Voeding	Strøm	Energia	Питание	Ström	Güç	电量	電量	Живлення	Effekt	กำลังไฟ	Zasilanie	Putere	Daya	
previous_content	Previous Track	Předchozí stopa	Vorheriger Titel	Pista anterior	Edellinen raita	Piste précédente	Traccia precedente	前のトラック	이전 트랙	Vorig nummer	Forrige spor	Faixa anterior	Предыдущий трек	Föregående spår	Önceki Parça	上一首	上一首	Попередня доріжка	Forrige nummer	แทร็กก่อนหน้า	Poprzednia ścieżka	Piesa precedentă	Trek Sebelumnya	
audio_profile_racing	Racing	Závodění	Rennen	Carreras	Kilpa-ajo	Jeux de course	Racing	レース	레이싱	Racing	Bilspill	Corridas	Гонки	Racing	Yarış	竞速	競速	Перегони	Motorræs	การแข่งความเร็ว	Wyścigi	Jocuri de curse	Balapan	
mp_delete	Remove	Odebrat	Entfernen	Quitar	Poista	Supprimer	Rimuovi	削除	제거	Verwijderen	Fjern	Remover	Удалить	Ta bort	Kaldır	移除	移除	Видалити	Fjern	ลบ	Usuń	Eliminare	Hapus	
reset	Reset	Resetovat	Zurücksetzen	Restablecer	Nollaa	Réinitialiser	Ripristino	リセット	초기화	Opnieuw instellen	Tilbakestill	Repor	Сброс	Återställ	Sıfırla	重置	重設	Скинути	Nulstil	รีเซ็ต	Resetuj	Resetare	Atur ulang	
right	Right	Vpravo	Rechts	Derecha	Oikealle	Droite	Destra	右面	오른쪽	Rechts	Høyre	Direita	Вправо	Höger	Sağ	右侧	右側	Справа	Højre	ด้านขวา	Prawo	Dreapta	Kanan	
eq_profile_rock	Rock	Rock	Rock	Rock	Rock	Rock	Rock	ロック	록	Rock	Rock	Rock	Рок	Rock	Rock	摇滚	搖滾	Рок	Rock	ร็อค	Rock	Rock	Rock	
audio_profile_rpg	RPG	RPG	Rollenspiel	RPG	RPG	RPG	RPG	RPG	RPG	RPG	Rollespill	RPG	Ролевые игры	Rollspel	RPG	角色扮演	角色扮演	RPG	RPG	RPG	RPG	RPG	RPG	
settings	Settings	Nastavení	Einstellungen	Configuración	Asetukset	Paramètres	Impostazioni	設定	설정	Instellingen	Innstillinger	Definições	Настройки	Inställningar	Ayarlar	设置	設定	Налаштування	Indstillinger	การตั้งค่า	Ustawienia	Setări	Pengaturan	
skip	Skip	Přeskočit	Überspringen	Omitir	Ohita	Ignorer	Salta	スキップ	건너뛰기	Overslaan	Hopp over	Ignorar	Пропустить	Hoppa över	Atla	跳过	略過	Пропустити	Spring over	ข้าม	Pomiń	Omiteți	Lewati	Preskočiť
sound_optimization	Sound Optimization	Optimalizace zvuku	Klangoptimierung	Optimización del sonido	Äänen optimointi	Optimisation sonore	Ottimizzazione del suono	サウンド最適化	사운드 최적화	Geluidsoptimalisatie	Lydoptimalisering	Otimização do som	Оптимизация звука	Ljudoptimering	Ses Optimizasyonu	音效优化处理	音效優化處理	Оптимізація звуку	Lydoptimering	การเพิ่มประสิทธิภาพเสียง	Optymalizacja dźwięku	Optimizare sunet	Pengoptimalan Suara	
static	Static	Statický	Statisch	Estático	Staattinen	Statique	Statico	常時点灯	정적	Statisch	Statisk	Estático	Статический	Statisk	Statik	恒亮	恆亮	Статичний	Statisk	นิ่ง	Statyczne	Static	Statis	
strobing	Strobe	Stroboskop	Stroboskop	Luz estroboscópica	Strobovalot	Stroboscope	Strobo	すばやく点滅	섬광	Flitser	Strobende	Estroboscópio	Строб	Strobe	Flaş	闪烁	閃爍	Мерехтіння	Strobelys	กะพริบ	Stroboskopowe	Lumină stroboscopică	Strobo	
r75_idle_mode_hint	Switch to Sleep Mode after Being Idle for:	Přepnout do režimu spánku po době nečinnosti:	Wechseln in den Energiesparmodus nach einer Leerlaufzeit von:	Cambiar al modo de suspensión después de haber estado inactivo durante:	Kytke lepotilaan, kun ollut käyttämättömänä:	Basculer en mode veille après un délai d'inactivité de :	Attiva sospensione dopo inattività di:	スリープモードに移行するまでの時間:	절전 모드로 전환될 때까지의 유휴 시간:	Schakel naar de slaapmodus na een inactiviteit van:	Bytt til hvilemodus etter inaktivitet i:	Mudar para modo de suspensão depois de inativo durante:	Переход в спящий режим при простое:	Växla till viloläge efter inaktivt läge i:	Uyku Modundan Önce Boşta Kalma Süresi:	当空闲以下时间后切换为睡眠模式：	當空閒以下時間後切換為睡眠模式：	Перехід у режим сну після бездіяльності протягом:	Gå i dvale, når enheden har været inaktiv i:	เปลี่ยนเป็นโหมดสลีปหลังจากไม่ได้ใช้งานเป็นเวลา:	Przełącz do trybu uśpienia po czasie bezczynności wynoszącym:	Comutare la Modul Repaus după timpul de inactivitate:	Beralih ke Mode Tidur setelah Idle selama:	
system_bluetooth	System Bluetooth	Bluetooth systému	System-Bluetooth	Bluetooth del sistema	Järjestelmän Bluetooth	Bluetooth du système	Bluetooth del sistema	Bluetooth設定を開く	시스템 Bluetooth	Systeem Bluetooth	System-Bluetooth	Bluetooth do sistema	Bluetooth системы	System Bluetooth	Sistem Bluetooth	系统蓝牙	系統藍牙	Bluetooth сиатеми	System Bluetooth	บลูทูธระบบ	Funkcja Bluetooth systemu	Bluetooth sistem	Bluetooth Sistem	Systém Bluetooth
tap_3_times	Tap 3 times	Klepněte 3krát	Dreimal antippen	Pulsar 3 veces	Napauta kolme kertaa	Appuyez 3 fois	Tocca 3 volte	3回タップ	3번 탭하기	Tik 3 keer	Trykk 3 ganger	Tocar 3 vezes	Нажать 3 раза	Tryck 3 gånger	3 kez dokunun	短按三次	短按三次	Торкніться тричі	Tryk 3 gange	แตะ 3 ครั้ง	Stuknij 3 razy	Atingeți de 3 ori	Ketuk 3 kali	
tap_once	Tap once	Klepněte jednou	Einmal antippen	Pulsar una vez	Napauta kerran	Appuyez une fois	Tocca una volta	1回タップ	한 번 탭하기	Eenmaal tikken	Trykk én gang	Tocar uma vez	Нажать	Tryck en gång	Bir kez dokun	短按一次	短按一次	Торкніться один раз	Tryk én gang	แตะหนึ่งครั้ง	Stuknij raz	Atingeți o dată	Ketuk sekali	
tap_and_hold_for_1_sec	Tap once then hold for 1 sec	Jednou klepněte a poté 1 sekundu držte	Einmal antippen und dann 1 Sekunde lang gedrückt halten	Toque una vez y luego mantenga presionado durante 1 segundo	Napauta kerran ja pidä sitten 1 sekunnin ajan	Appuyer une fois et maintenir pendant 1 s	Toccare qui e tenere premuto per 1 secondo	1回タップしてから1秒間長押し	1초 이상 꾹 탭하십시오	Eén keer tikken en dan 1 sec vasthouden	Trykk én gang og hold i 1 sek	Toque uma vez e mantenha premido durante 1 segundo	Нажать и удерживать в течение секунды	Tryck en gång och håll sedan ned i 1 sek	Bir kez dokunun ve ardından 1 saniye basılı tutun	短按一次再长按一秒	短按一次再長按一秒	Натисніть один раз і утримуйте 1 секунду	Tryk én gang og hold derefter nede i 1 sek.	แตะหนึ่งครั้งแล้วค้างไว้ 1 วินาที	Stuknij raz, a następnie przytrzymaj przez 1 s	Atingeți o dată, apoi țineți apăsat timp de 1 secundă	Ketuk sekali lalu tahan selama 1 detik	Ťuknite raz a podržte na 1 sekundu
tap_twice	Tap twice	Klepněte dvakrát	Zweimal antippen	Pulsar dos veces	Napauta kahdesti	Appuyez deux fois	Tocca due volte	2回タップ	두 번 탭하기	Twee keer tikken	Trykk to ganger	Tocar duas vezes	Нажать дважды	Tryck två gånger	İki kez dokunun	短按两次	短按兩次	Натисніть двічі	Tryk to gange	แตะสองครั้ง	Stuknij dwukrotnie	Atingeți de două ori	Ketuk dua kali	
eq_profile_techno	Techno	Techno	Techno	Techno	Tekno	Techno	Techno	テクノ	테크노	Techno	Techno	Techno	Техно	Techno	Tekno	电子音乐	電子音樂	Техно	Techno	เทคโน	Techno	Techno	Tekno	
gesture_fixed	The following gestures cannot be customized	Následující gesta nelze přizpůsobit	Die folgenden Gesten können nicht angepasst werden.	Los siguientes gestos no se pueden personalizar	Seuraavia eleitä ei voi mukauttaa	Les gestes suivants ne peuvent pas être personnalisés	I seguenti gesti non possono essere personalizzati	次のジェスチャーはカスタマイズできません	다음 제스처는 커스터마이징할 수 없습니다	De volgende bewegingen kunnen niet worden aangepast	Følgende bevegelser kan ikke justeres	Não é possível personalizar os gestos seguintes	Следующие жесты не могут быть настроены	Följande gester kan inte anpassas	Aşağıdaki hareketler özelleştirilemez	下列手势功能无法自定义	下列手勢功能無法自訂	Наступні жести неможливо змінити	Følgende fingerbevægelser kan ikke tilpasses	ไม่สามารถปรับแต่งท่าทางต่อไปนี้ได้	Poniższych gestów nie można dostosować	Nu se pot particulariza următoarele gesturi	Gerakan berikut ini tidak dapat disesuaikan	Nasledovné gestá sa nedajú prispôsobiť
txlanguage	The One voice	Jeden hlas	Die Eine Stimme	La voz única	One voice (yksi ääni)	La voix de l'Élu	La voce unica	The One ボイス	음성만	De One voice	Den ene stemmen	A voz única	Единый голос	The One voice (Bara en röst)	Tek ses	天选语音	天選語音	Один голос	Den ene stemme	เสียงเดียว	Jeden głos	Voce unică	Satu suara	Jeden hlas
mp_explanation_link_device_title	To connect, please press “Connect” and go to the device's Bluetooth settings page to complete the connection.	Chcete-li se připojit, stiskněte tlačítko „Připojit“ a přejděte na stránku nastavení Bluetooth zařízení a dokončete připojení.	Um eine Verbindung herzustellen, drücken Sie bitte auf "Verbinden" und wechseln Sie zur Bluetooth-Einstellungenseite des Geräts, damit Sie die Verbindung fertigstellen können.	Para realizar la conexión, presione "Conectar" y vaya a la página de configuración Bluetooth del dispositivo para completar la conexión.	Paina yhteyden muodostamiseksi "Yhdistä" ja siirry laitteen Bluetooth-asetussivulle yhteyden muodostamiseksi.	Pour vous connecter, appuyez sur "Connecter" et accédez à la page des paramètres Bluetooth de l'appareil pour effectuer la connexion.	Per connettersi, premere "Connetti" e andare alla pagina delle impostazioni Bluetooth del dispositivo per completare la connessione.	接続するには「接続」をクリックし、デバイスのBluetooth設定ページに移動して接続を完了してください。	연결하려면 “Connect”(연결)를 눌러 장치의 블루투스 설정 페이지로 이동하여 연결을 완료하십시오.	Om te verbinden, drukt u op “Verbinden” en gaat u naar de pagina Bluetooth-instellingen van het apparaat om de verbinding te voltooien.	Koble til ved å trykke «Koble til» og gå til enhetens Bluetooth-innstillingsside for å fullføre tilkoblingen.	Para estabelecer a ligação, pressione “Ligar” e aceda à página de definições de Bluetooth do dispositivo para concluir a ligação.	Для подключения нажмите "Подключить" и перейдите на страницу настроек Bluetooth устройства для завершения подключения.	För att ansluta, tryck på “Connect” (Anslut) och gå till enhetens sida för Bluetooth-inställningar för att genomföra anslutningen.	Bağlanmak için lütfen "Bağlan" düğmesine basın ve bağlantıyı tamamlamak için cihazın Bluetooth ayarları sayfasına gidin.	如需连接，请按下 “连接”并前往设备的蓝牙设置页面完成连接。	如需連線，請按下「連線」並前往裝置的藍牙設定頁面完成連線。	Для підключення натисніть Connect (Підключити) і перейдіть на сторінку налаштувань Bluetooth пристрою, аби виконати підключення.	For at oprette forbindelsen, skal du trykke på "Forbind" og åbne enhedens Bluetooth-indstillingsside, hvor du kan forbinde enhederne.	หากต้องการเชื่อมต่อ โปรดกดปุ่ม “เชื่อมต่อ” แล้วไปที่หน้าการตั้งค่าบลูทูธของอุปกรณ์เพื่อทำการเชื่อมต่อให้เสร็จสิ้น	W celu połączenia naciśnij przycisk „Connect” (Połącz) i przejdź na stronę ustawień Bluetooth urządzenia, aby dokończyć nawiązywanie połączenia.	Pentru a vă conecta, apăsați „Conectare” și mergeți la pagina de setări Bluetooth a dispozitivului pentru a finaliza conexiunea.	Untuk menyambungkan, tekan “Sambung”, lalu buka halaman pengaturan Bluetooth perangkat untuk menyelesaikan sambungan.	
